"","sample","phase","tab","rep","nominal_time","dw_g","time_h","Cd111_ppb","Cd114_ppb","Cu63_ppb","Cu65_ppb","Ni60_ppb","Ni62_ppb","clear"
"79","ref_3d_1_1","ref","1",1,"72h",0.1134,NA,0.711883437309522,5.62083954809665,5.69901908301858,18.4279635623212,2.78882821855722,7.77628177108543,0
"80","ref_3d_1_2","ref","1",1,"72h",0.0751,NA,0.455159216063408,4.94140843507601,5.12016403879964,15.6434788666926,2.17279318927802,13.6171108768703,0
"81","ref_3d_1_3","ref","1",1,"72h",0.0817,NA,0.592481772532262,5.81682433221973,6.56385269377394,22.1883686464373,4.59109699992182,17.9789633745946,0
"82","ref_3d_2_1","ref","1",2,"72h",0.0608,NA,0.5352280436023,6.35124949765258,5.65937766446189,27.7349912597527,1.74788070908852,9.94648456347753,0
"83","ref_3d_2_2","ref","1",2,"72h",0.0821,NA,0.605870095153828,6.21257715625608,11.5182023948984,90.7027175027679,2.23455313382703,15.5413929436916,0
"84","ref_3d_2_3","ref","1",2,"72h",0.0933,NA,0.643297448543588,6.74930776049622,4.94284331041461,14.2876164747372,2.83390378870317,10.5484197277775,0
"85","ref_3d_3_1","ref","1",3,"72h",0.0542,NA,0.576815557763706,6.3186228603817,6.25620924261349,28.5814262952599,3.18129591894467,20.7492318028724,0
"86","ref_3d_3_2","ref","1",3,"72h",0.1292,NA,0.576936031018913,4.70421939982341,5.61817170363415,18.9012254631677,4.51634887737923,13.4561310421701,0
"87","ref_3d_3_3","ref","1",3,"72h",0.0448,NA,0.614278241266899,7.693339952726,4.53046766539548,11.7872195799108,2.74175890706565,14.4175578176092,0
"88","TD_labeling_3d_1_1","TD","1",1,"72h",0.0843,71.9166666666667,0.571047106129814,5.15107141099984,5.16742682817754,17.8112347051829,19.6778344132532,26.4082598374533,0
"89","TD_labeling_3d_1_2","TD","1",1,"72h",0.09,71.9166666666667,0.586761352424932,6.19279450854048,4.66876982941468,12.6193114577768,47.0806392738631,58.9026911822347,0
"90","TD_labeling_3d_1_3","TD","1",1,"72h",0.0661,71.9166666666667,0.704398330522626,6.24151628947035,5.23020217099401,19.0910496576925,43.4115793815842,48.484314019871,0
"91","TD_labeling_3d_1_4","TD","1",1,"72h",0.0724,71.9166666666667,0.555870217627514,6.98375521320367,7.5293902601619,40.8305997129084,19.143788967129,28.469093637521,0
"92","TD_labeling_3d_2_1","TD","1",2,"72h",0.0793,71.95,0.532379003114887,3.95831688900737,6.19959469715426,20.9405806951373,15.6593468040615,20.3815282811023,0
"93","TD_labeling_3d_2_2","TD","1",2,"72h",0.1173,71.95,0.706173536066368,6.81450784688117,5.98188232613803,23.3087976859612,10.7687409219827,18.2751766367342,0
"94","TD_labeling_3d_2_3","TD","1",2,"72h",0.0547,71.95,0.726532689016067,7.21263062733438,5.32112237826258,16.8853887468203,25.8162760821383,35.2017264201924,0
"95","TD_labeling_3d_2_4","TD","1",2,"72h",0.0978,71.95,0.854813395587756,5.99283941518276,5.62968897176582,15.9665313355655,13.8529391733398,19.2115210531884,0
"96","TD_labeling_3d_3_1","TD","1",3,"72h",0.0887,71.95,0.688801276745225,8.95316749796694,6.40794542509742,26.5161604118777,24.8812321265795,35.0097707913616,0
"97","TD_labeling_3d_3_2","TD","1",3,"72h",0.076,71.95,0.459735026451722,9.62765666063815,6.61651781694501,30.8128800852067,26.755645688622,47.7427302134859,0
"98","TD_labeling_3d_3_3","TD","1",3,"72h",0.0906,71.95,0.611810846451758,6.0516833378371,7.62572257466801,30.7467508023705,22.9425655330395,32.5977762751376,0
"99","TD_labeling_3d_3_4","TD","1",3,"72h",0.0639,71.95,0.609978938770274,6.4855968108474,4.50177952200228,11.5633479032386,18.9793495520477,25.4786338922278,0
"100","TD_labeling_3d_4_1","TD","1",4,"72h",0.1071,71.9666666666667,0.96582718993643,7.3247581647896,6.09202729897758,22.5936629155983,17.6280163490266,26.4420781982697,0
"101","TD_labeling_3d_4_2","TD","1",4,"72h",0.1038,71.9666666666667,0.494597731575871,5.72033573357774,5.60957696303177,19.656245635998,16.9233116308578,28.3630521339163,0
"102","TD_labeling_3d_4_3","TD","1",4,"72h",0.0518,71.9666666666667,0.699686673711524,8.23171719900479,10.2956050612545,50.5717218121534,55.2825213793567,72.3018690395855,0
"103","TD_labeling_3d_4_4","TD","1",4,"72h",0.0708,71.9666666666667,0.66288832689647,7.96204019944913,6.37388123264059,27.5936878753405,20.369034049995,32.6165587471972,0
"104","pre_labeling_(2)_14d_1","pre_labeling","2",2,"14",0.0802,NA,0.836003654746681,6.76016092451256,5.80401669299364,17.9492191707599,2.9037530008451,10.1988186186521,0
"105","pre_labeling_(2)_14d_2","pre_labeling","2",3,"14",0.0497,NA,0.423094861633592,6.82041675246886,12.1598153263694,77.6563090413528,0.834981236073722,26.9474358719825,0
"106","pre_labeling_(2)_14d_3","pre_labeling","2",4,"14",0.0366,NA,0.641344175293368,5.78467336209818,8.67516903729187,43.6063319458655,2.04508474511172,23.0747293678597,0
"107","pre_labeling_(2)_14d_4","pre_labeling","2",5,"14",0.0743,NA,0.584414980391976,4.92551128590161,7.68484802400508,28.4920726140043,1.79754053756726,7.64827640246051,0
"108","pre_labeling_(2)_14d_5","pre_labeling","2",6,"14",0.085,NA,0.710577476715181,3.95074088964092,6.16135587043411,21.4010499777329,2.28325107119829,12.6802712722494,0
"109","pre_labeling_(2)_14d_6","pre_labeling","2",7,"14",0.0717,NA,0.69174554327111,8.02841850234863,7.76604528592571,41.4421011864432,2.95803902385291,26.1613583765429,0
"110","pre_labeling_(2)_14d_7","pre_labeling","2",8,"14",0.0484,NA,0.49257228177486,5.90035955384371,8.54691406669646,50.9620479828145,2.08364637005833,23.5895546336227,0
"111","pre_labeling_(2)_14d_8","pre_labeling","2",9,"14",0.0346,NA,0.773521905491758,9.11515415136224,15.9054947225417,112.808371574949,3.55002041567785,54.0956286782521,0
"112","pre_labeling_(2)_14d_9","pre_labeling","2",10,"14",0.0535,NA,0.733498878704102,7.48295482943857,8.84761251876941,38.1038203491089,2.70688017822931,16.2212020624407,0
"113","pre_labeling_(2)_14d_10","pre_labeling","2",11,"14",0.0423,NA,0.689452968981232,9.78601502992809,6.99493374071362,30.4016086829804,0.899460226610602,30.2381585362989,0
"114","ref_3.25d_1_1","ref","2",1,"6h",0.0484,NA,0.754237406763445,8.69357884550889,8.10006202063835,44.0038660979969,3.07446327788342,27.3470867071095,0
"115","ref_3.25d_1_2","ref","2",1,"6h",0.0908,NA,0.731376936883507,7.33506636881991,6.30530263426865,23.1821682892359,1.86239119672396,18.438267708874,0
"116","ref_3.25d_1_3","ref","2",1,"6h",0.087,NA,0.792143683385148,7.27248233793321,5.25984544776478,16.2192690331622,3.07321322320761,11.2395458178982,0
"117","ref_3.25d_2_1","ref","2",2,"6h",0.084,NA,0.47199706833384,5.79048722204107,8.69472072480945,52.451820501675,3.56698219841402,35.4239491335163,0
"118","ref_3.25d_2_2","ref","2",2,"6h",0.0762,NA,0.512651947508191,6.00586644991609,6.6713862414227,24.4633619907026,3.5284673596863,16.4089036754823,0
"119","ref_3.25d_2_3","ref","2",2,"6h",0.0629,NA,0.72482447093472,9.14813575732421,7.97574710655969,35.0122391037563,2.80254627998438,27.557754274428,0
"120","ref_3.25d_3_1","ref","2",3,"6h",0.0613,NA,0.53925344694139,6.40786706278818,7.21409155098117,33.2514956477653,3.41353799230142,20.1166752444787,0
"121","ref_3.25d_3_2","ref","2",3,"6h",0.0825,NA,0.569084650371029,5.09784503281408,6.08686360803828,24.8970625890861,5.03071207137509,22.1341754208397,0
"122","ref_3.25d_3_3","ref","2",3,"6h",0.0605,NA,0.692172724582887,7.44840028697404,5.45072327420715,20.2284622725163,2.50493140756051,22.3554174562456,0
"123","TD_labeling_3.25d_1_1","TD","2",1,"6h",0.0935,6,0.709167475782657,6.11973064159411,8.22214660497047,37.5380646148117,3.52324174847206,16.4801107921361,0
"124","TD_labeling_3.25d_1_2","TD","2",1,"6h",0.0986,6,0.704711204439036,8.87342298169655,11.9280065854504,85.6932239572388,5.87429906352406,49.4106080641305,0
"125","TD_labeling_3.25d_1_3","TD","2",1,"6h",0.1419,6,0.6822210782912,5.58759581147988,5.57530433693294,19.4081361460137,3.54079654216085,14.1809277879507,0
"126","TD_labeling_3.25d_2_1","TD","2",2,"6h",0.0803,6.01666666666667,0.784489415225612,8.50268461858431,10.1818023241402,64.2804927005649,5.34723434571636,34.36454239724,0
"127","TD_labeling_3.25d_2_2","TD","2",2,"6h",0.0926,6.01666666666667,0.721281278469073,4.44351706387774,6.88571039418301,27.5559458942864,2.44361852397103,9.60334519052434,0
"128","TD_labeling_3.25d_2_3","TD","2",2,"6h",0.1141,6.01666666666667,0.531226713884452,6.084553733306,12.0375684498686,77.1198896725963,3.20476176430934,28.5108603454483,0
"129","TD_labeling_3.25d_3_1","TD","2",3,"6h",0.0899,6.01666666666667,0.714613024479345,8.67309653413282,7.48718138018257,35.9599405017333,4.8047665589844,27.595361778428,0
"130","TD_labeling_3.25d_3_2","TD","2",3,"6h",0.0884,6.01666666666667,0.66318276004476,6.48725431390592,8.37099603027287,39.0455760831576,2.44836484797763,16.3561324773538,0
"131","TD_labeling_3.25d_3_3","TD","2",3,"6h",0.0979,6.01666666666667,0.520053754781957,3.20531016173603,5.31521222296152,16.5123588041029,2.02338453796693,10.7504241942772,0
"132","TD_labeling_3.25d_4_1","TD","2",4,"6h",0.1207,6.03333333333333,0.555936306127708,5.09739805706807,8.4992328385494,32.0346687726024,3.51008581198396,21.633104608655,0
"133","TD_labeling_3.25d_4_2","TD","2",4,"6h",0.0666,6.03333333333333,0.797467356080399,7.09229401369384,7.60195241379378,37.6521611111832,1.88295203253929,16.4445761558885,0
"134","TD_labeling_3.25d_4_3","TD","2",4,"6h",0.1014,6.03333333333333,0.565568272631631,5.7028815217943,7.17578458276835,33.7328095836866,1.99108045308437,7.70391193844671,0
